query,status,ms,results
q00001.rq,OK,1.7,10
q00002.rq,OK,0.4,1
q00003.rq,OK,9.8,148
q00004.rq,OK,483.7,100000
q00005.rq,OK,120.4,100000
q00006.rq,OK,113.7,100000
q00007.rq,OK,103.2,100000
q00008.rq,OK,111.6,100000
q00009.rq,OK,64.8,100000
q00010.rq,OK,13.4,8080
q00011.rq,OK,0.7,79
q00012.rq,OK,21.3,15089
q00013.rq,OK,136.5,100000
q00014.rq,OK,115.6,100000
q00015.rq,OK,218.1,100000
q00016.rq,OK,239.9,100000
q00017.rq,OK,3107.0,65
q00018.rq,OK,90.9,100000
q00019.rq,OK,163.0,100000
q00020.rq,OK,208.7,100000
q00021.rq,OK,133.0,38245
q00022.rq,OK,132.0,38245
q00023.rq,OK,103.8,3380
q00024.rq,OK,93.5,100000
q00025.rq,OK,346.1,100000
q00026.rq,OK,178.9,8631
q00027.rq,OK,918.2,100000
q00028.rq,OK,514.2,100000
q00029.rq,OK,112.8,100000
q00030.rq,OK,108.3,100000
q00031.rq,OK,51.3,100000
q00032.rq,OK,54.4,100000
q00033.rq,OK,101.6,100000
q00034.rq,OK,95.5,100000
q00035.rq,OK,214.2,100000
q00036.rq,OK,937.6,100000
q00037.rq,OK,994.7,100000
q00038.rq,OK,928.7,100000
q00039.rq,OK,925.1,100000
q00040.rq,OK,936.3,100000
q00041.rq,OK,986.2,100000
q00042.rq,OK,4.2,163
q00043.rq,OK,918.6,100000
q00044.rq,OK,232.6,100000
q00045.rq,OK,236.0,100000
q00046.rq,OK,164.1,100000
q00047.rq,OK,222.5,100000
q00048.rq,OK,229.8,100000
q00049.rq,OK,58.9,100000
q00050.rq,OK,53.4,100000
q00051.rq,OK,55.9,100000
q00052.rq,OK,4.2,328
q00053.rq,OK,935.8,100000
q00054.rq,OK,99.3,100000
q00055.rq,OK,137.9,100000
q00056.rq,OK,138.1,100000
q00057.rq,OK,140.5,100000
q00058.rq,OK,135.4,100000
q00059.rq,OK,432.8,100000
q00060.rq,OK,431.3,100000
q00061.rq,OK,3.7,621
q00062.rq,OK,54.5,100000
q00063.rq,OK,100.0,100000
q00064.rq,OK,1016.6,100000
q00065.rq,OK,978.3,100000
q00066.rq,OK,172.3,100000
q00067.rq,OK,540.1,100000
q00068.rq,OK,102.4,100000
q00069.rq,OK,102.8,100000
q00070.rq,OK,99.7,100000
q00071.rq,OK,56.2,100000
q00072.rq,OK,216.4,100000
q00073.rq,OK,235.0,100000
q00074.rq,OK,215.1,64430
q00075.rq,OK,249.3,100000
q00076.rq,OK,90.4,100000
q00077.rq,OK,257.7,100000
q00078.rq,OK,272.2,100000
q00079.rq,OK,446.1,100000
q00080.rq,OK,151.7,100000
q00081.rq,OK,219.7,100000
q00082.rq,OK,63.0,100000
q00083.rq,OK,106.6,100000
q00084.rq,OK,84.6,100000
q00085.rq,OK,57.1,100000
q00086.rq,OK,50.1,100000
q00087.rq,OK,56.0,100000
q00088.rq,OK,59.7,100000
q00089.rq,OK,90.8,100000
q00090.rq,OK,82.0,100000
q00091.rq,OK,155.6,100000
q00092.rq,OK,0.8,1
q00093.rq,OK,60.9,100000
q00094.rq,OK,137.5,100000
q00095.rq,OK,240.6,100000
q00096.rq,OK,240.2,100000
q00097.rq,OK,66.0,100000
q00098.rq,OK,52.8,100000
q00099.rq,OK,3.4,867
q00100.rq,OK,61.1,100000
q00101.rq,OK,495.7,100000
q00102.rq,OK,52.8,13218
q00103.rq,OK,55.3,100000
q00104.rq,OK,5074.4,100000
q00105.rq,OK,1.2,1
q00106.rq,OK,162.1,100000
q00107.rq,OK,1040.8,100000
q00108.rq,OK,1032.0,100000
q00109.rq,OK,253.8,100000
q00110.rq,OK,25.5,2427
q00111.rq,OK,880.3,100000
q00112.rq,OK,542.8,100000
q00113.rq,OK,1012.4,100000
q00114.rq,OK,1041.6,100000
q00115.rq,OK,144.3,100000
q00116.rq,OK,139.5,100000
q00117.rq,OK,1131.8,100000
q00118.rq,OK,1334.5,100000
q00119.rq,OK,5.7,106
q00120.rq,OK,871.6,100000
q00121.rq,OK,108.3,100000
q00122.rq,OK,132.8,100000
q00123.rq,OK,109.0,100000
q00124.rq,OK,62.6,100000
q00125.rq,OK,125.9,100000
q00126.rq,OK,241.7,100000
q00127.rq,OK,153.1,100000
q00128.rq,OK,58.5,100000
q00129.rq,OK,932.9,100000
q00130.rq,OK,33.2,5237
q00131.rq,OK,0.5,0
q00132.rq,OK,442.4,100000
q00133.rq,OK,438.4,100000
q00134.rq,OK,6.7,820
q00135.rq,OK,98.9,100000
q00136.rq,OK,167.7,100000
q00137.rq,OK,612.2,100000
q00138.rq,OK,525.5,100000
q00139.rq,TIMEOUT,60000.0,0
q00140.rq,OK,84.8,100000
q00141.rq,OK,111.3,100000
q00142.rq,OK,989.7,100000
q00143.rq,OK,345.3,100000
q00144.rq,OK,277.0,100000
q00145.rq,OK,186.3,100000
q00146.rq,OK,174.7,100000
q00147.rq,OK,218.0,100000
q00148.rq,OK,354.4,100000
q00149.rq,OK,230.5,100000
q00150.rq,OK,182.7,100000
q00151.rq,OK,225.1,100000
q00152.rq,OK,827.0,100000
q00153.rq,OK,233.3,100000
q00154.rq,OK,814.0,100000
q00155.rq,OK,191.3,100000
q00156.rq,OK,111.4,100000
q00157.rq,OK,184.9,100000
q00158.rq,OK,132.9,100000
q00159.rq,OK,183.2,100000
q00160.rq,OK,185.2,100000
q00161.rq,OK,180.7,100000
q00162.rq,OK,2.1,64
q00163.rq,OK,259.0,100000
q00164.rq,OK,12.1,6963
q00165.rq,OK,9.2,121
q00166.rq,OK,20.8,6052
q00167.rq,OK,3309.3,4719
q00168.rq,OK,975.8,100000
q00169.rq,OK,4.6,1087
q00170.rq,OK,15.3,5765
q00171.rq,TIMEOUT,60000.0,0
q00172.rq,OK,108.8,100000
q00173.rq,OK,98.4,100000
q00174.rq,OK,106.4,100000
q00175.rq,OK,97.9,100000
q00176.rq,OK,102.1,100000
q00177.rq,OK,84.1,100000
q00178.rq,OK,52.5,100000
q00179.rq,OK,164.0,100000
q00180.rq,OK,44.3,52441
q00181.rq,OK,284.7,100000
q00182.rq,OK,3.0,2591
q00183.rq,OK,911.0,100000
q00184.rq,OK,918.8,100000
q00185.rq,OK,243.7,100000
q00186.rq,OK,17.7,8049
q00187.rq,OK,735.7,40460
q00188.rq,OK,63.7,100000
q00189.rq,OK,92.5,100000
q00190.rq,OK,1276.0,100000
q00191.rq,OK,986.5,100000
q00192.rq,OK,948.1,100000
q00193.rq,OK,146.6,100000
q00194.rq,OK,645.3,100000
q00195.rq,OK,6.0,5
q00196.rq,OK,49.1,100000
q00197.rq,OK,898.1,100000
q00198.rq,OK,51.6,100000
q00199.rq,OK,0.7,3
q00200.rq,OK,45.4,100000
q00201.rq,OK,878.6,100000
q00202.rq,OK,5.4,29
q00203.rq,OK,93.0,100000
q00204.rq,OK,0.8,0
q00205.rq,OK,437.8,100000
q00206.rq,OK,51.8,100000
q00207.rq,OK,51.3,100000
q00208.rq,OK,1.1,60
q00209.rq,OK,810.6,100000
q00210.rq,OK,334.7,9121
q00211.rq,OK,113.5,100000
q00212.rq,OK,410.4,58457
q00213.rq,OK,140.2,100000
q00214.rq,OK,122.9,100000
q00215.rq,OK,307.7,100000
q00216.rq,OK,153.3,98
q00217.rq,OK,40.4,31168
q00218.rq,OK,244.8,100000
q00219.rq,OK,247.7,100000
q00220.rq,OK,245.5,100000
q00221.rq,OK,316.5,100000
q00222.rq,OK,80.5,100000
q00223.rq,OK,138.6,100000
q00224.rq,OK,132.1,100000
q00225.rq,OK,1119.7,100000
q00226.rq,OK,127.5,100000
q00227.rq,OK,448.9,100000
q00228.rq,OK,3.9,714
q00229.rq,OK,64.5,100000
q00230.rq,OK,136.7,100000
q00231.rq,OK,63.2,100000
q00232.rq,OK,926.7,100000
q00233.rq,OK,965.4,100000
q00234.rq,OK,88.6,100000
q00235.rq,OK,55.9,100000
q00236.rq,OK,55.6,100000
q00237.rq,OK,1011.5,100000
q00238.rq,OK,91.6,56333
q00239.rq,OK,124.3,100000
q00240.rq,OK,109.5,100000
q00241.rq,OK,999.6,100000
q00242.rq,OK,1032.0,100000
q00243.rq,OK,119.6,100000
q00244.rq,OK,178.9,100000
q00245.rq,OK,107.4,100000
q00246.rq,OK,109.4,100000
q00247.rq,OK,54.0,100000
q00248.rq,OK,118.5,100000
q00249.rq,OK,92.9,100000
q00250.rq,OK,118.7,100000
q00251.rq,OK,111.1,100000
q00252.rq,OK,52.0,100000
q00253.rq,OK,68.9,17973
q00254.rq,OK,172.6,100000
q00255.rq,ERROR,228.5,0
q00256.rq,ERROR,417.9,0
q00257.rq,OK,65.9,100000
q00258.rq,OK,70.3,100000
q00259.rq,OK,239.8,100000
q00260.rq,OK,1108.5,100000
q00261.rq,OK,128.3,100000
q00262.rq,OK,124.4,100000
q00263.rq,OK,56.4,100000
q00264.rq,OK,11.0,2509
q00265.rq,OK,199.2,100000
q00266.rq,OK,197.6,100000
q00267.rq,OK,174.9,100000
q00268.rq,OK,166.5,100000
q00269.rq,OK,85.3,100000
q00270.rq,OK,119.4,100000
q00271.rq,OK,78.7,100000
q00272.rq,OK,655.6,100000
q00273.rq,OK,1445.0,100000
q00274.rq,OK,93.9,100000
q00275.rq,OK,167.9,100000
q00276.rq,OK,0.8,0
q00277.rq,OK,109.0,100000
q00278.rq,OK,148.5,100000
q00279.rq,OK,621.2,100000
q00280.rq,OK,3.2,2722
q00281.rq,OK,131.2,100000
q00282.rq,OK,163.0,100000
q00283.rq,OK,57.2,100000
q00284.rq,OK,164.3,100000
q00285.rq,OK,621.5,100000
q00286.rq,OK,2.8,585
q00287.rq,OK,0.4,0
q00288.rq,OK,146.3,100000
q00289.rq,OK,142.2,100000
q00290.rq,OK,99.3,100000
q00291.rq,OK,148.4,100000
q00292.rq,OK,415.2,100000
q00293.rq,OK,447.1,100000
q00294.rq,OK,4.8,932
q00295.rq,OK,2.4,1791
q00296.rq,OK,46.0,100000
q00297.rq,OK,991.8,100000
q00298.rq,OK,2.3,25
q00299.rq,OK,378.1,100000
q00300.rq,OK,42.9,2393
q00301.rq,OK,418.2,100000
q00302.rq,OK,2.9,13
q00303.rq,OK,295.4,100000
q00304.rq,OK,280.1,100000
q00305.rq,OK,1.2,358
q00306.rq,OK,163.4,100000
q00307.rq,OK,946.6,100000
q00308.rq,OK,9.7,124
q00309.rq,OK,405.6,100000
q00310.rq,OK,46.6,100000
q00311.rq,OK,56.4,100000
q00312.rq,OK,46.3,100000
q00313.rq,OK,446.5,100000
q00314.rq,OK,6.9,159
q00315.rq,OK,79.1,100000
q00316.rq,OK,13.3,167
q00317.rq,OK,886.2,100000
q00318.rq,OK,30.8,3402
q00319.rq,OK,2.3,21
q00320.rq,OK,51.2,100000
q00321.rq,OK,155.1,100000
q00322.rq,OK,49.2,100000
q00323.rq,OK,2.8,112
q00324.rq,OK,32.5,430
q00325.rq,OK,56.1,100000
q00326.rq,OK,133.7,12026
q00327.rq,OK,878.9,100000
