query,status,ms,results
q00001.rq,OK,2066.7,116
q00002.rq,OK,8830.0,0
q00003.rq,OK,15854.2,519
q00004.rq,ERROR,288.1,0
q00005.rq,OK,17043.3,203
q00006.rq,OK,14470.5,197
q00007.rq,OK,14446.2,197
q00008.rq,OK,11616.1,197
q00009.rq,OK,11087.8,2751
q00010.rq,OK,16853.1,3033
q00011.rq,OK,5756.9,19
q00012.rq,ERROR,447.0,0
q00013.rq,ERROR,417.4,0
q00014.rq,ERROR,2596.0,0
q00015.rq,OK,57.1,15252
q00016.rq,OK,11049.6,488
q00017.rq,ERROR,2561.7,0
q00018.rq,OK,3835.9,100000
q00019.rq,ERROR,13161.5,0
q00020.rq,OK,2380.0,0
q00021.rq,OK,19601.2,100000
q00022.rq,OK,4185.3,21296
q00023.rq,ERROR,249.4,0
q00024.rq,ERROR,247.2,0
q00025.rq,ERROR,2683.5,0
q00026.rq,ERROR,2758.1,0
q00027.rq,ERROR,2685.9,0
q00028.rq,ERROR,821.2,0
q00029.rq,OK,13937.2,60
q00030.rq,OK,14168.9,26
q00031.rq,OK,10783.3,2482
q00032.rq,OK,14220.3,2509
q00033.rq,ERROR,2526.5,0
q00034.rq,ERROR,2567.1,0
q00035.rq,ERROR,2693.1,0
q00036.rq,OK,14135.2,2514
q00037.rq,OK,10788.1,1456
q00038.rq,OK,10985.7,137
q00039.rq,OK,11988.8,35477
q00040.rq,OK,15406.1,137
q00041.rq,ERROR,263.8,0
q00042.rq,OK,5859.1,100000
q00043.rq,OK,92.3,100000
q00044.rq,OK,3089.4,100000
q00045.rq,OK,8012.4,100000
q00046.rq,OK,6888.2,100000
q00047.rq,OK,3504.5,100000
q00048.rq,ERROR,2536.5,0
q00049.rq,OK,7395.1,100000
q00050.rq,OK,7191.7,100000
q00051.rq,ERROR,6113.5,0
q00052.rq,OK,3312.4,100000
q00053.rq,OK,364.0,100000
q00054.rq,ERROR,372.9,0
q00055.rq,ERROR,2733.7,0
q00056.rq,OK,8296.7,158
q00057.rq,OK,751.0,5786
q00058.rq,ERROR,1640.7,0
q00059.rq,OK,9460.9,10825
q00060.rq,ERROR,2226.0,0
q00061.rq,ERROR,1053.2,0
q00062.rq,ERROR,20465.8,0
q00063.rq,ERROR,454.3,0
q00064.rq,ERROR,386.2,0
q00065.rq,ERROR,378.1,0
q00066.rq,ERROR,510.1,0
q00067.rq,OK,9272.0,152
q00068.rq,OK,9370.8,158
q00069.rq,ERROR,586.1,0
q00070.rq,ERROR,249.9,0
q00071.rq,ERROR,260.1,0
q00072.rq,OK,6871.3,100000
q00073.rq,OK,624.8,1106
q00074.rq,OK,7728.0,1107
q00075.rq,ERROR,718.0,0
q00076.rq,OK,48.3,0
q00077.rq,OK,2916.1,100000
q00078.rq,ERROR,367.5,0
q00079.rq,OK,6722.7,100000
q00080.rq,ERROR,419.4,0
q00081.rq,OK,1135.5,100000
q00082.rq,OK,7567.8,100000
q00083.rq,ERROR,2619.0,0
q00084.rq,OK,7756.5,1221
q00085.rq,ERROR,2487.7,0
q00086.rq,ERROR,15190.4,0
q00087.rq,OK,2678.9,128
q00088.rq,ERROR,571.5,0
q00089.rq,OK,6693.5,820
q00090.rq,OK,9294.4,810
q00091.rq,OK,15629.5,810
q00092.rq,OK,6477.0,807
q00093.rq,ERROR,8288.7,0
q00094.rq,ERROR,8332.9,0
q00095.rq,ERROR,8411.1,0
q00096.rq,ERROR,8487.8,0
q00097.rq,ERROR,8321.6,0
q00098.rq,OK,10.7,660
