query,status,ms,results
q00001.rq,OK,2.0,79
q00002.rq,OK,0.4,54
q00003.rq,OK,0.3,3
q00004.rq,OK,0.2,2
q00005.rq,OK,0.2,20
q00006.rq,OK,0.2,67
q00007.rq,OK,0.3,122
q00008.rq,OK,0.2,1
q00009.rq,OK,0.2,1
q00010.rq,OK,0.2,1
q00011.rq,OK,0.2,0
q00012.rq,OK,0.2,0
q00013.rq,OK,0.2,1
q00014.rq,OK,0.2,33
q00015.rq,OK,0.2,0
q00016.rq,OK,0.2,23
q00017.rq,OK,0.2,1
q00018.rq,OK,0.3,197
q00019.rq,OK,0.2,2
q00020.rq,OK,0.2,2
q00021.rq,OK,0.2,4
q00022.rq,OK,0.2,108
q00023.rq,OK,0.3,129
q00024.rq,OK,0.2,1
q00025.rq,OK,0.2,0
q00026.rq,OK,0.2,2
q00027.rq,OK,0.2,1
q00028.rq,OK,0.2,1
q00029.rq,OK,0.2,0
q00030.rq,OK,0.2,0
q00031.rq,OK,0.2,1
q00032.rq,OK,0.4,298
q00033.rq,OK,0.2,1
q00034.rq,OK,0.2,8
q00035.rq,OK,0.2,135
q00036.rq,OK,0.2,14
q00037.rq,OK,0.2,1
q00038.rq,OK,0.2,1
q00039.rq,OK,0.2,1
q00040.rq,OK,0.2,1
q00041.rq,OK,0.2,1
q00042.rq,OK,0.2,1
q00043.rq,OK,40.9,100000
q00044.rq,OK,0.6,6
q00045.rq,OK,0.5,295
q00046.rq,OK,38.3,100000
q00047.rq,OK,12.1,20960
q00048.rq,OK,5.3,9702
q00049.rq,OK,41.6,100000
q00050.rq,OK,41.5,100000
q00051.rq,OK,157.6,100000
q00052.rq,OK,1.4,1542
q00053.rq,OK,81.6,100000
q00054.rq,OK,0.9,0
q00055.rq,OK,0.5,198
q00056.rq,OK,1.9,1967
q00057.rq,OK,0.6,540
q00058.rq,OK,1.2,2571
q00059.rq,OK,0.6,531
q00060.rq,OK,0.6,307
q00061.rq,OK,7.3,19047
q00062.rq,OK,0.7,170
q00063.rq,OK,207.8,100000
q00064.rq,OK,7.3,8455
q00065.rq,OK,77.4,100000
q00066.rq,OK,1.1,498
q00067.rq,OK,0.3,0
q00068.rq,ERROR,381.0,0
q00069.rq,OK,1.3,1497
q00070.rq,ERROR,3715.4,0
q00071.rq,OK,389.0,100000
q00072.rq,OK,83.6,100000
q00073.rq,OK,0.8,30
q00074.rq,OK,94.0,100000
q00075.rq,OK,0.8,52
q00076.rq,OK,0.3,168
q00077.rq,OK,0.6,628
q00078.rq,OK,0.9,1345
q00079.rq,OK,1.2,1839
q00080.rq,OK,89.8,100000
q00081.rq,OK,1.1,451
q00082.rq,OK,137.1,100000
q00083.rq,OK,37.2,39545
q00084.rq,OK,0.8,136
q00085.rq,OK,0.8,594
q00086.rq,OK,4.0,4789
q00087.rq,OK,29.1,100000
q00088.rq,OK,32.9,100000
q00089.rq,OK,19.5,52597
q00090.rq,OK,0.7,0
q00091.rq,OK,198.7,100000
q00092.rq,OK,1.1,558
q00093.rq,OK,15.8,52676
q00094.rq,OK,430.3,100000
q00095.rq,OK,2.7,5823
q00096.rq,OK,4.9,8584
q00097.rq,OK,10.3,20656
q00098.rq,OK,86.4,100000
q00099.rq,OK,97.6,100000
q00100.rq,OK,80.5,100000
q00101.rq,OK,96.2,100000
q00102.rq,ERROR,3856.6,0
q00103.rq,OK,173.5,100000
q00104.rq,OK,283.8,100000
q00105.rq,OK,124.9,100000
q00106.rq,OK,315.3,100000
q00107.rq,OK,0.6,20
q00108.rq,OK,47.2,49141
q00109.rq,OK,106.1,100000
q00110.rq,OK,0.8,48
q00111.rq,OK,0.3,39
q00112.rq,OK,0.3,57
q00113.rq,OK,0.2,53
q00114.rq,OK,0.4,125
q00115.rq,OK,0.3,114
q00116.rq,OK,0.3,69
q00117.rq,OK,0.2,15
q00118.rq,OK,116.9,100000
q00119.rq,OK,33.2,100000
q00120.rq,OK,12.1,26816
q00121.rq,OK,107.8,100000
q00122.rq,OK,135.0,100000
q00123.rq,ERROR,4732.3,0
q00124.rq,OK,20.7,27678
q00125.rq,OK,87.3,100000
q00126.rq,OK,0.9,253
q00127.rq,ERROR,535.5,0
q00128.rq,OK,145.5,100000
q00129.rq,OK,16.1,15808
q00130.rq,OK,37.4,100000
q00131.rq,OK,0.7,66
q00132.rq,OK,0.5,299
q00133.rq,OK,27.9,100000
q00134.rq,OK,0.7,167
q00135.rq,OK,37.7,100000
q00136.rq,OK,23.2,76753
q00137.rq,OK,0.6,14
q00138.rq,OK,0.3,102
q00139.rq,OK,10.6,22273
q00140.rq,OK,16.8,36443
q00141.rq,OK,22.3,100000
q00142.rq,OK,0.9,195
q00143.rq,OK,1.0,1004
q00144.rq,ERROR,129.8,0
