query,status,ms,results
q00001.rq,ERROR,1323.6,0
q00002.rq,ERROR,1326.9,0
q00003.rq,ERROR,18733.3,0
q00004.rq,ERROR,1350.2,0
q00005.rq,ERROR,1315.1,0
q00006.rq,ERROR,1357.8,0
q00007.rq,ERROR,18707.7,0
q00008.rq,ERROR,1513.4,0
q00009.rq,ERROR,18700.4,0
q00010.rq,ERROR,1503.3,0
q00011.rq,ERROR,1463.6,0
q00012.rq,OK,1689.1,0
q00013.rq,ERROR,1468.2,0
q00014.rq,ERROR,1357.9,0
q00015.rq,ERROR,1306.2,0
q00016.rq,ERROR,1347.8,0
q00017.rq,OK,0.6,140
q00018.rq,OK,26.2,24598
q00019.rq,ERROR,1312.5,0
q00020.rq,ERROR,1346.5,0
q00021.rq,ERROR,1316.4,0
q00022.rq,ERROR,1507.2,0
q00023.rq,ERROR,1487.1,0
q00024.rq,ERROR,1516.7,0
q00025.rq,ERROR,1327.1,0
q00026.rq,ERROR,1327.5,0
q00027.rq,ERROR,1310.9,0
q00028.rq,ERROR,1352.4,0
q00029.rq,ERROR,1305.2,0
q00030.rq,ERROR,1339.8,0
q00031.rq,ERROR,1327.4,0
q00032.rq,ERROR,1347.0,0
q00033.rq,ERROR,1311.6,0
q00034.rq,OK,67.4,83067
q00035.rq,ERROR,1302.3,0
q00036.rq,ERROR,1343.3,0
q00037.rq,ERROR,1320.7,0
q00038.rq,ERROR,1508.4,0
q00039.rq,ERROR,1310.8,0
q00040.rq,ERROR,1329.3,0
q00041.rq,ERROR,1469.9,0
q00042.rq,ERROR,1341.8,0
q00043.rq,ERROR,1315.1,0
q00044.rq,ERROR,1496.4,0
q00045.rq,ERROR,1312.5,0
q00046.rq,ERROR,1330.5,0
q00047.rq,OK,141.8,100000
q00048.rq,ERROR,18797.4,0
q00049.rq,ERROR,1309.5,0
q00050.rq,ERROR,1312.1,0
q00051.rq,ERROR,18673.9,0
q00052.rq,ERROR,1349.0,0
q00053.rq,ERROR,1296.0,0
q00054.rq,ERROR,1338.1,0
q00055.rq,ERROR,18702.4,0
q00056.rq,ERROR,18818.5,0
q00057.rq,ERROR,18718.9,0
q00058.rq,ERROR,1346.6,0
q00059.rq,ERROR,1293.4,0
q00060.rq,ERROR,1348.9,0
q00061.rq,ERROR,1473.8,0
q00062.rq,ERROR,18815.3,0
q00063.rq,ERROR,1302.3,0
q00064.rq,ERROR,1317.7,0
