query,status,ms,results
q00001.rq,OK,1.7,10
q00002.rq,OK,0.3,1
q00003.rq,OK,9.6,148
q00004.rq,OK,452.2,100000
q00005.rq,OK,102.9,100000
q00006.rq,OK,88.5,100000
q00007.rq,OK,111.9,100000
q00008.rq,OK,107.9,100000
q00009.rq,OK,59.9,100000
q00010.rq,OK,12.3,8080
q00011.rq,OK,0.6,79
q00012.rq,OK,19.7,15089
q00013.rq,OK,127.6,100000
q00014.rq,OK,95.1,100000
q00015.rq,OK,198.0,100000
q00016.rq,OK,226.9,100000
q00017.rq,OK,3088.1,65
q00018.rq,OK,78.9,100000
q00019.rq,OK,156.9,100000
q00020.rq,OK,199.6,100000
q00021.rq,OK,131.6,38245
q00022.rq,OK,130.7,38245
q00023.rq,OK,101.9,3380
q00024.rq,OK,88.9,100000
q00025.rq,OK,344.8,100000
q00026.rq,OK,174.7,8631
q00027.rq,OK,913.8,100000
q00028.rq,OK,514.7,100000
q00029.rq,OK,114.1,100000
q00030.rq,OK,103.9,100000
q00031.rq,OK,49.5,100000
q00032.rq,OK,53.5,100000
q00033.rq,OK,93.5,100000
q00034.rq,OK,93.2,100000
q00035.rq,OK,202.5,100000
q00036.rq,OK,942.8,100000
q00037.rq,OK,993.0,100000
q00038.rq,OK,918.5,100000
q00039.rq,OK,934.8,100000
q00040.rq,OK,927.4,100000
q00041.rq,OK,980.9,100000
q00042.rq,OK,4.3,163
q00043.rq,OK,933.5,100000
q00044.rq,OK,206.5,100000
q00045.rq,OK,226.8,100000
q00046.rq,OK,147.4,100000
q00047.rq,OK,211.4,100000
q00048.rq,OK,229.0,100000
q00049.rq,OK,60.2,100000
q00050.rq,OK,52.7,100000
q00051.rq,OK,53.0,100000
q00052.rq,OK,4.3,328
q00053.rq,OK,945.7,100000
q00054.rq,OK,96.6,100000
q00055.rq,OK,140.1,100000
q00056.rq,OK,142.2,100000
q00057.rq,OK,138.7,100000
q00058.rq,OK,142.2,100000
q00059.rq,OK,391.8,100000
q00060.rq,OK,391.9,100000
q00061.rq,OK,3.6,621
q00062.rq,OK,51.3,100000
q00063.rq,OK,102.3,100000
q00064.rq,OK,1013.8,100000
q00065.rq,OK,988.3,100000
q00066.rq,OK,165.8,100000
q00067.rq,OK,538.8,100000
q00068.rq,OK,96.2,100000
q00069.rq,OK,94.8,100000
q00070.rq,OK,93.0,100000
q00071.rq,OK,53.9,100000
q00072.rq,OK,213.8,100000
q00073.rq,OK,231.3,100000
q00074.rq,OK,198.6,64430
q00075.rq,OK,234.9,100000
q00076.rq,OK,88.3,100000
q00077.rq,OK,219.0,100000
q00078.rq,OK,265.8,100000
q00079.rq,OK,425.7,100000
q00080.rq,OK,144.5,100000
q00081.rq,OK,211.2,100000
q00082.rq,OK,70.0,100000
q00083.rq,OK,99.9,100000
q00084.rq,OK,84.5,100000
q00085.rq,OK,56.5,100000
q00086.rq,OK,53.0,100000
q00087.rq,OK,55.4,100000
q00088.rq,OK,55.2,100000
q00089.rq,OK,89.5,100000
q00090.rq,OK,79.8,100000
q00091.rq,OK,150.6,100000
q00092.rq,OK,1.0,1
q00093.rq,OK,54.5,100000
q00094.rq,OK,118.6,100000
q00095.rq,OK,244.4,100000
q00096.rq,OK,251.1,100000
q00097.rq,OK,55.5,100000
q00098.rq,OK,51.6,100000
q00099.rq,OK,3.1,867
q00100.rq,OK,54.7,100000
q00101.rq,OK,479.8,100000
q00102.rq,OK,47.7,13218
q00103.rq,OK,50.4,100000
q00104.rq,OK,5054.9,100000
q00105.rq,OK,1.3,1
q00106.rq,OK,155.7,100000
q00107.rq,OK,1018.6,100000
q00108.rq,OK,1029.8,100000
q00109.rq,OK,246.5,100000
q00110.rq,OK,25.0,2427
q00111.rq,OK,873.1,100000
q00112.rq,OK,537.1,100000
q00113.rq,OK,980.1,100000
q00114.rq,OK,1022.5,100000
q00115.rq,OK,145.9,100000
q00116.rq,OK,143.2,100000
q00117.rq,OK,1105.8,100000
q00118.rq,OK,1343.6,100000
q00119.rq,OK,5.5,106
q00120.rq,OK,871.1,100000
q00121.rq,OK,106.3,100000
q00122.rq,OK,128.3,100000
q00123.rq,OK,109.6,100000
q00124.rq,OK,57.6,100000
q00125.rq,OK,127.1,100000
q00126.rq,OK,240.2,100000
q00127.rq,OK,158.1,100000
q00128.rq,OK,53.9,100000
q00129.rq,OK,913.5,100000
q00130.rq,OK,32.4,5237
q00131.rq,OK,0.4,0
q00132.rq,OK,429.5,100000
q00133.rq,OK,427.6,100000
q00134.rq,OK,6.4,820
q00135.rq,OK,95.7,100000
q00136.rq,OK,152.0,100000
q00137.rq,OK,608.1,100000
q00138.rq,OK,502.9,100000
q00139.rq,TIMEOUT,60000.0,0
q00140.rq,OK,87.3,100000
q00141.rq,OK,115.1,100000
q00142.rq,OK,958.9,100000
q00143.rq,OK,341.7,100000
q00144.rq,OK,276.5,100000
q00145.rq,OK,191.8,100000
q00146.rq,OK,174.2,100000
q00147.rq,OK,204.0,100000
q00148.rq,OK,340.3,100000
q00149.rq,OK,252.5,100000
q00150.rq,OK,185.7,100000
