query,status,ms,results
q00001.rq,ERROR,1332.3,0
q00002.rq,ERROR,1315.1,0
q00003.rq,ERROR,16210.4,0
q00004.rq,ERROR,1330.8,0
q00005.rq,ERROR,1307.5,0
q00006.rq,ERROR,1331.8,0
q00007.rq,ERROR,16200.4,0
q00008.rq,ERROR,1492.9,0
q00009.rq,ERROR,16227.7,0
q00010.rq,ERROR,1485.0,0
q00011.rq,ERROR,1485.0,0
q00012.rq,OK,1628.2,0
q00013.rq,ERROR,1486.2,0
q00014.rq,ERROR,1331.6,0
q00015.rq,ERROR,1313.1,0
q00016.rq,ERROR,1324.5,0
q00017.rq,OK,0.7,140
q00018.rq,OK,28.9,24598
q00019.rq,ERROR,1327.9,0
q00020.rq,ERROR,1299.3,0
q00021.rq,ERROR,1328.8,0
q00022.rq,ERROR,1453.0,0
q00023.rq,ERROR,1486.1,0
q00024.rq,ERROR,1472.0,0
q00025.rq,ERROR,1316.3,0
q00026.rq,ERROR,1315.9,0
q00027.rq,ERROR,1317.5,0
q00028.rq,ERROR,1321.4,0
q00029.rq,ERROR,1323.5,0
q00030.rq,ERROR,1312.8,0
q00031.rq,ERROR,1321.3,0
q00032.rq,ERROR,1312.9,0
q00033.rq,ERROR,1330.8,0
q00034.rq,OK,73.1,83067
q00035.rq,ERROR,1317.9,0
q00036.rq,ERROR,1308.5,0
q00037.rq,ERROR,1321.9,0
q00038.rq,ERROR,1458.9,0
q00039.rq,ERROR,1315.8,0
q00040.rq,ERROR,1302.2,0
q00041.rq,ERROR,1486.1,0
q00042.rq,ERROR,1309.0,0
q00043.rq,ERROR,1298.3,0
q00044.rq,ERROR,1427.4,0
q00045.rq,ERROR,1302.8,0
q00046.rq,ERROR,1274.2,0
q00047.rq,OK,142.4,100000
q00048.rq,ERROR,16095.0,0
q00049.rq,ERROR,1298.4,0
q00050.rq,ERROR,1287.8,0
q00051.rq,ERROR,16169.1,0
q00052.rq,ERROR,1291.1,0
q00053.rq,ERROR,1311.9,0
q00054.rq,ERROR,1284.1,0
q00055.rq,ERROR,16169.5,0
q00056.rq,ERROR,16112.0,0
q00057.rq,ERROR,16184.9,0
q00058.rq,ERROR,1285.1,0
q00059.rq,ERROR,1313.0,0
q00060.rq,ERROR,1310.7,0
q00061.rq,ERROR,1462.7,0
q00062.rq,ERROR,16177.4,0
q00063.rq,ERROR,1334.5,0
