query,status,ms,results
q00001.rq,OK,1.7,10
q00002.rq,OK,0.4,1
q00003.rq,OK,9.8,148
q00004.rq,OK,470.3,100000
q00005.rq,OK,118.2,100000
q00006.rq,OK,105.1,100000
q00007.rq,OK,105.8,100000
q00008.rq,OK,108.7,100000
q00009.rq,OK,63.8,100000
q00010.rq,OK,13.1,8080
q00011.rq,OK,0.7,79
q00012.rq,OK,20.8,15089
q00013.rq,OK,132.7,100000
q00014.rq,OK,103.4,100000
q00015.rq,OK,206.0,100000
q00016.rq,OK,229.7,100000
q00017.rq,OK,3059.8,65
q00018.rq,OK,81.7,100000
q00019.rq,OK,167.5,100000
q00020.rq,OK,199.9,100000
q00021.rq,OK,135.6,38245
q00022.rq,OK,129.4,38245
q00023.rq,OK,103.3,3380
q00024.rq,OK,91.8,100000
q00025.rq,OK,351.4,100000
q00026.rq,OK,174.6,8631
q00027.rq,OK,913.3,100000
q00028.rq,OK,516.0,100000
q00029.rq,OK,120.5,100000
q00030.rq,OK,104.6,100000
q00031.rq,OK,56.5,100000
q00032.rq,OK,55.8,100000
q00033.rq,OK,96.7,100000
q00034.rq,OK,104.1,100000
q00035.rq,OK,216.0,100000
q00036.rq,OK,921.4,100000
q00037.rq,OK,983.9,100000
q00038.rq,OK,910.4,100000
q00039.rq,OK,908.2,100000
q00040.rq,OK,927.0,100000
q00041.rq,OK,970.4,100000
q00042.rq,OK,4.0,163
q00043.rq,OK,908.2,100000
q00044.rq,OK,237.4,100000
q00045.rq,OK,236.5,100000
q00046.rq,OK,161.9,100000
q00047.rq,OK,221.8,100000
q00048.rq,OK,223.5,100000
q00049.rq,OK,58.9,100000
q00050.rq,OK,57.8,100000
q00051.rq,OK,55.0,100000
q00052.rq,OK,4.3,328
q00053.rq,OK,923.3,100000
q00054.rq,OK,98.6,100000
q00055.rq,OK,131.2,100000
q00056.rq,OK,137.9,100000
q00057.rq,OK,130.9,100000
q00058.rq,OK,135.5,100000
q00059.rq,OK,415.5,100000
q00060.rq,OK,412.6,100000
q00061.rq,OK,3.7,621
q00062.rq,OK,56.2,100000
q00063.rq,OK,98.8,100000
q00064.rq,OK,1000.7,100000
q00065.rq,OK,967.0,100000
q00066.rq,OK,169.1,100000
q00067.rq,OK,537.0,100000
q00068.rq,OK,99.1,100000
q00069.rq,OK,96.2,100000
q00070.rq,OK,97.0,100000
q00071.rq,OK,53.2,100000
q00072.rq,OK,220.6,100000
q00073.rq,OK,240.1,100000
q00074.rq,OK,210.2,64430
q00075.rq,OK,241.7,100000
q00076.rq,OK,88.5,100000
q00077.rq,OK,239.4,100000
q00078.rq,OK,271.2,100000
q00079.rq,OK,428.4,100000
q00080.rq,OK,152.7,100000
q00081.rq,OK,222.3,100000
q00082.rq,OK,64.9,100000
q00083.rq,OK,101.0,100000
q00084.rq,OK,80.5,100000
q00085.rq,OK,57.7,100000
q00086.rq,OK,48.6,100000
q00087.rq,OK,55.9,100000
q00088.rq,OK,61.0,100000
q00089.rq,OK,85.4,100000
q00090.rq,OK,84.5,100000
q00091.rq,OK,151.9,100000
q00092.rq,OK,0.9,1
q00093.rq,OK,54.8,100000
q00094.rq,OK,135.2,100000
q00095.rq,OK,235.1,100000
q00096.rq,OK,240.4,100000
q00097.rq,OK,60.9,100000
q00098.rq,OK,55.1,100000
q00099.rq,OK,3.5,867
q00100.rq,OK,58.5,100000
q00101.rq,OK,476.1,100000
q00102.rq,OK,49.9,13218
q00103.rq,OK,56.1,100000
q00104.rq,OK,5066.5,100000
q00105.rq,OK,1.1,1
q00106.rq,OK,159.6,100000
q00107.rq,OK,1005.8,100000
q00108.rq,OK,1025.7,100000
q00109.rq,OK,259.1,100000
q00110.rq,OK,25.1,2427
q00111.rq,OK,867.3,100000
q00112.rq,OK,534.1,100000
q00113.rq,OK,973.7,100000
q00114.rq,OK,1010.2,100000
q00115.rq,OK,161.0,100000
q00116.rq,OK,140.4,100000
q00117.rq,OK,1122.1,100000
q00118.rq,OK,1334.0,100000
q00119.rq,OK,5.6,106
q00120.rq,OK,864.7,100000
q00121.rq,OK,106.3,100000
q00122.rq,OK,134.3,100000
q00123.rq,OK,109.0,100000
q00124.rq,OK,62.4,100000
q00125.rq,OK,124.2,100000
q00126.rq,OK,240.7,100000
q00127.rq,OK,153.2,100000
q00128.rq,OK,58.0,100000
q00129.rq,OK,912.6,100000
q00130.rq,OK,32.7,5237
q00131.rq,OK,0.4,0
q00132.rq,OK,434.0,100000
q00133.rq,OK,425.9,100000
q00134.rq,OK,6.6,820
q00135.rq,OK,97.6,100000
q00136.rq,OK,157.5,100000
q00137.rq,OK,585.3,100000
q00138.rq,OK,517.2,100000
q00139.rq,TIMEOUT,60000.0,0
q00140.rq,OK,91.1,100000
q00141.rq,OK,113.2,100000
q00142.rq,OK,955.1,100000
q00143.rq,OK,356.2,100000
q00144.rq,OK,282.4,100000
q00145.rq,OK,193.6,100000
q00146.rq,OK,175.5,100000
q00147.rq,OK,200.8,100000
q00148.rq,OK,354.4,100000
q00149.rq,OK,252.7,100000
q00150.rq,OK,182.9,100000
q00151.rq,OK,214.2,100000
q00152.rq,OK,815.6,100000
q00153.rq,OK,268.0,100000
q00154.rq,OK,822.9,100000
q00155.rq,OK,183.2,100000
q00156.rq,OK,116.6,100000
q00157.rq,OK,183.9,100000
q00158.rq,OK,137.7,100000
q00159.rq,OK,180.2,100000
q00160.rq,OK,189.2,100000
q00161.rq,OK,180.4,100000
q00162.rq,OK,2.1,64
q00163.rq,OK,270.5,100000
q00164.rq,OK,11.5,6963
q00165.rq,OK,9.0,121
q00166.rq,OK,18.9,6052
q00167.rq,OK,3223.3,4719
q00168.rq,OK,972.2,100000
q00169.rq,OK,4.2,1087
q00170.rq,OK,14.1,5765
q00171.rq,TIMEOUT,60000.0,0
q00172.rq,OK,114.4,100000
q00173.rq,OK,99.3,100000
q00174.rq,OK,108.6,100000
q00175.rq,OK,98.6,100000
q00176.rq,OK,98.4,100000
q00177.rq,OK,83.7,100000
q00178.rq,OK,56.1,100000
q00179.rq,OK,175.0,100000
q00180.rq,OK,48.3,52441
q00181.rq,OK,299.9,100000
q00182.rq,OK,3.2,2591
q00183.rq,OK,917.8,100000
q00184.rq,OK,911.4,100000
q00185.rq,OK,259.2,100000
q00186.rq,OK,17.7,8049
q00187.rq,OK,717.0,40460
q00188.rq,OK,70.2,100000
q00189.rq,OK,101.1,100000
q00190.rq,OK,1261.9,100000
q00191.rq,OK,973.8,100000
q00192.rq,OK,938.9,100000
q00193.rq,OK,138.0,100000
q00194.rq,OK,607.3,100000
q00195.rq,OK,6.0,5
q00196.rq,OK,48.9,100000
q00197.rq,OK,869.3,100000
q00198.rq,OK,51.7,100000
q00199.rq,OK,0.9,3
q00200.rq,OK,46.5,100000
q00201.rq,OK,867.5,100000
q00202.rq,OK,5.4,29
q00203.rq,OK,95.7,100000
q00204.rq,OK,0.8,0
q00205.rq,OK,429.4,100000
q00206.rq,OK,58.1,100000
q00207.rq,OK,44.1,100000
q00208.rq,OK,1.1,60
q00209.rq,OK,815.1,100000
q00210.rq,OK,328.5,9121
q00211.rq,OK,116.8,100000
q00212.rq,OK,405.3,58457
q00213.rq,OK,150.0,100000
q00214.rq,OK,123.7,100000
q00215.rq,OK,304.8,100000
q00216.rq,OK,149.0,98
q00217.rq,OK,41.7,31168
q00218.rq,OK,241.6,100000
q00219.rq,OK,252.6,100000
q00220.rq,OK,261.3,100000
q00221.rq,OK,315.3,100000
q00222.rq,OK,87.8,100000
q00223.rq,OK,136.6,100000
q00224.rq,OK,149.6,100000
q00225.rq,OK,1116.0,100000
q00226.rq,OK,144.1,100000
q00227.rq,OK,457.7,100000
q00228.rq,OK,3.8,714
q00229.rq,OK,63.5,100000
q00230.rq,OK,134.4,100000
q00231.rq,OK,62.6,100000
q00232.rq,OK,917.0,100000
q00233.rq,OK,948.8,100000
q00234.rq,OK,95.4,100000
q00235.rq,OK,51.6,100000
q00236.rq,OK,56.8,100000
q00237.rq,OK,1011.2,100000
q00238.rq,OK,90.9,56333
q00239.rq,OK,118.4,100000
q00240.rq,OK,113.7,100000
q00241.rq,OK,999.5,100000
q00242.rq,OK,1028.3,100000
q00243.rq,OK,127.6,100000
q00244.rq,OK,187.9,100000
q00245.rq,OK,115.9,100000
q00246.rq,OK,105.0,100000
q00247.rq,OK,53.4,100000
q00248.rq,OK,113.9,100000
q00249.rq,OK,93.2,100000
q00250.rq,OK,121.9,100000
q00251.rq,OK,118.1,100000
q00252.rq,OK,55.3,100000
q00253.rq,OK,70.3,17973
q00254.rq,OK,173.2,100000
q00255.rq,ERROR,225.5,0
q00256.rq,ERROR,416.7,0
q00257.rq,OK,61.7,100000
q00258.rq,OK,78.0,100000
q00259.rq,OK,241.4,100000
q00260.rq,OK,1116.3,100000
q00261.rq,OK,121.9,100000
q00262.rq,OK,130.5,100000
q00263.rq,OK,58.8,100000
q00264.rq,OK,10.7,2509
q00265.rq,OK,206.9,100000
q00266.rq,OK,197.3,100000
q00267.rq,OK,161.1,100000
q00268.rq,OK,175.4,100000
q00269.rq,OK,81.5,100000
q00270.rq,OK,122.8,100000
q00271.rq,OK,73.6,100000
q00272.rq,OK,32819.3,100000
q00273.rq,OK,1569.4,100000
q00274.rq,OK,93.6,100000
q00275.rq,OK,153.9,100000
q00276.rq,OK,0.8,0
q00277.rq,OK,112.7,100000
q00278.rq,OK,147.0,100000
q00279.rq,OK,643.7,100000
q00280.rq,OK,3.2,2722
q00281.rq,OK,121.0,100000
q00282.rq,OK,174.8,100000
q00283.rq,OK,58.7,100000
q00284.rq,OK,189.6,100000
q00285.rq,OK,624.7,100000
q00286.rq,OK,2.7,585
q00287.rq,OK,0.4,0
q00288.rq,OK,139.3,100000
q00289.rq,OK,149.7,100000
q00290.rq,OK,74.8,100000
q00291.rq,OK,142.3,100000
q00292.rq,OK,414.7,100000
q00293.rq,OK,435.2,100000
q00294.rq,OK,4.5,932
q00295.rq,OK,2.4,1791
q00296.rq,OK,50.2,100000
q00297.rq,OK,944.8,100000
q00298.rq,OK,2.0,25
q00299.rq,OK,383.4,100000
q00300.rq,OK,42.7,2393
q00301.rq,OK,428.3,100000
q00302.rq,OK,2.4,13
q00303.rq,OK,289.8,100000
q00304.rq,OK,282.3,100000
q00305.rq,OK,1.2,358
q00306.rq,OK,161.3,100000
q00307.rq,OK,938.9,100000
q00308.rq,OK,9.8,124
q00309.rq,OK,413.1,100000
q00310.rq,OK,55.1,100000
q00311.rq,OK,49.9,100000
q00312.rq,OK,50.6,100000
q00313.rq,OK,441.9,100000
q00314.rq,OK,7.0,159
q00315.rq,OK,70.7,100000
q00316.rq,OK,13.2,167
q00317.rq,OK,870.1,100000
q00318.rq,OK,30.7,3402
q00319.rq,OK,2.4,21
q00320.rq,OK,49.8,100000
q00321.rq,OK,163.3,100000
q00322.rq,OK,53.3,100000
q00323.rq,OK,2.9,112
q00324.rq,OK,31.9,430
q00325.rq,OK,52.6,100000
q00326.rq,OK,134.0,12026
q00327.rq,OK,871.2,100000
