query,status,ms,results
q00001.rq,OK,2118.5,116
q00002.rq,OK,9122.2,0
q00003.rq,OK,16346.7,519
q00004.rq,ERROR,283.5,0
q00005.rq,OK,17386.4,203
q00006.rq,OK,14942.8,197
q00007.rq,OK,14641.9,197
q00008.rq,OK,12332.8,197
q00009.rq,OK,11601.9,2751
q00010.rq,OK,17540.6,3033
q00011.rq,OK,5757.6,19
q00012.rq,ERROR,431.3,0
q00013.rq,ERROR,415.4,0
q00014.rq,ERROR,2597.1,0
q00015.rq,OK,64.2,15252
q00016.rq,OK,11240.2,488
q00017.rq,ERROR,2525.3,0
q00018.rq,OK,3934.9,100000
q00019.rq,ERROR,12434.3,0
q00020.rq,OK,2495.7,0
q00021.rq,OK,19513.6,100000
q00022.rq,OK,4222.5,21296
q00023.rq,ERROR,235.5,0
q00024.rq,ERROR,238.2,0
q00025.rq,ERROR,2663.2,0
q00026.rq,ERROR,2767.3,0
q00027.rq,ERROR,2661.9,0
q00028.rq,ERROR,840.2,0
q00029.rq,OK,14380.6,60
q00030.rq,OK,14600.0,26
q00031.rq,OK,11094.4,2482
q00032.rq,OK,14523.6,2509
q00033.rq,ERROR,2515.2,0
q00034.rq,ERROR,2525.3,0
q00035.rq,ERROR,2612.7,0
q00036.rq,OK,14280.5,2514
q00037.rq,OK,10949.0,1456
q00038.rq,OK,11261.6,137
q00039.rq,OK,12070.1,35477
q00040.rq,OK,15707.6,137
q00041.rq,ERROR,247.0,0
q00042.rq,OK,5967.0,100000
q00043.rq,OK,89.8,100000
q00044.rq,OK,3175.0,100000
q00045.rq,OK,8101.1,100000
q00046.rq,OK,7113.6,100000
q00047.rq,OK,3456.2,100000
q00048.rq,ERROR,2537.1,0
q00049.rq,OK,7419.8,100000
q00050.rq,OK,7333.0,100000
q00051.rq,ERROR,6028.9,0
q00052.rq,OK,3375.0,100000
q00053.rq,OK,350.5,100000
q00054.rq,ERROR,365.4,0
q00055.rq,ERROR,2762.4,0
q00056.rq,OK,8442.2,158
q00057.rq,OK,752.2,5786
q00058.rq,ERROR,1591.8,0
q00059.rq,OK,9600.5,10825
q00060.rq,ERROR,2158.6,0
q00061.rq,ERROR,1030.3,0
q00062.rq,ERROR,19765.9,0
q00063.rq,ERROR,437.3,0
q00064.rq,ERROR,364.6,0
q00065.rq,ERROR,364.2,0
q00066.rq,ERROR,474.6,0
q00067.rq,OK,9620.9,152
q00068.rq,OK,9295.5,158
q00069.rq,ERROR,594.4,0
q00070.rq,ERROR,235.8,0
q00071.rq,ERROR,242.5,0
q00072.rq,OK,6907.0,100000
q00073.rq,OK,657.8,1106
q00074.rq,OK,7671.2,1107
q00075.rq,ERROR,726.4,0
q00076.rq,OK,49.8,0
q00077.rq,OK,2854.6,100000
q00078.rq,ERROR,369.8,0
q00079.rq,OK,6932.9,100000
q00080.rq,ERROR,411.2,0
q00081.rq,OK,1105.1,100000
